	ID	Name
青岛海尔(600690)	600690	青岛海尔
*ST阳化(600691)	600691	*ST阳化
亚通股份(600692)	600692	亚通股份
东百集团(600693)	600693	东百集团
大商股份(600694)	600694	大商股份
绿庭投资(600695)	600695	绿庭投资
多伦股份(600696)	600696	多伦股份
欧亚集团(600697)	600697	欧亚集团
湖南天雁(600698)	600698	湖南天雁
均胜电子(600699)	600699	均胜电子
*ST数码(600700)	600700	*ST数码
工大高新(600701)	600701	工大高新
沱牌舍得(600702)	600702	沱牌舍得
三安光电(600703)	600703	三安光电
物产中大(600704)	600704	物产中大
中航资本(600705)	600705	中航资本
曲江文旅(600706)	600706	曲江文旅
彩虹股份(600707)	600707	彩虹股份
海博股份(600708)	600708	海博股份
ST生态(600709)	600709	ST生态
*ST常林(600710)	600710	*ST常林
盛屯矿业(600711)	600711	盛屯矿业
南宁百货(600712)	600712	南宁百货
南京医药(600713)	600713	南京医药
金瑞矿业(600714)	600714	金瑞矿业
*ST松辽(600715)	600715	*ST松辽
凤凰股份(600716)	600716	凤凰股份
天津港(600717)	600717	天津港
东软集团(600718)	600718	东软集团
大连热电(600719)	600719	大连热电
祁连山(600720)	600720	祁连山
百花村(600721)	600721	百花村
*ST金化(600722)	600722	*ST金化
首商股份(600723)	600723	首商股份
宁波富达(600724)	600724	宁波富达
云维股份(600725)	600725	云维股份
华电能源(600726)	600726	华电能源
鲁北化工(600727)	600727	鲁北化工
佳都科技(600728)	600728	佳都科技
重庆百货(600729)	600729	重庆百货
中国高科(600730)	600730	中国高科
湖南海利(600731)	600731	湖南海利
*ST新梅(600732)	600732	*ST新梅
S前锋(600733)	600733	S前锋
实达集团(600734)	600734	实达集团
新华锦(600735)	600735	新华锦
苏州高新(600736)	600736	苏州高新
中粮屯河(600737)	600737	中粮屯河
兰州民百(600738)	600738	兰州民百
辽宁成大(600739)	600739	辽宁成大
山西焦化(600740)	600740	山西焦化
华域汽车(600741)	600741	华域汽车
一汽富维(600742)	600742	一汽富维
华远地产(600743)	600743	华远地产
华银电力(600744)	600744	华银电力
中茵股份(600745)	600745	中茵股份
江苏索普(600746)	600746	江苏索普
大连控股(600747)	600747	大连控股
上实发展(600748)	600748	上实发展
西藏旅游(600749)	600749	西藏旅游
江中药业(600750)	600750	江中药业
天津海运(600751)	600751	天津海运
*ST哈慈(600752)	600752	*ST哈慈
东方银星(600753)	600753	东方银星
锦江股份(600754)	600754	锦江股份
厦门国贸(600755)	600755	厦门国贸
浪潮软件(600756)	600756	浪潮软件
长江传媒(600757)	600757	长江传媒
红阳能源(600758)	600758	红阳能源
洲际油气(600759)	600759	洲际油气
中航黑豹(600760)	600760	中航黑豹
安徽合力(600761)	600761	安徽合力
S*ST金荔(600762)	600762	S*ST金荔
通策医疗(600763)	600763	通策医疗
中电广通(600764)	600764	中电广通
中航重机(600765)	600765	中航重机
园城黄金(600766)	600766	园城黄金
运盛医疗(600767)	600767	运盛医疗
宁波富邦(600768)	600768	宁波富邦
祥龙电业(600769)	600769	祥龙电业
综艺股份(600770)	600770	综艺股份
广誉远(600771)	600771	广誉远
S*ST龙昌(600772)	600772	S*ST龙昌
西藏城投(600773)	600773	西藏城投
汉商集团(600774)	600774	汉商集团
南京熊猫(600775)	600775	南京熊猫
东方通信(600776)	600776	东方通信
新潮实业(600777)	600777	新潮实业
友好集团(600778)	600778	友好集团
*ST水井(600779)	600779	*ST水井
通宝能源(600780)	600780	通宝能源
辅仁药业(600781)	600781	辅仁药业
新钢股份(600782)	600782	新钢股份
鲁信创投(600783)	600783	鲁信创投
鲁银投资(600784)	600784	鲁银投资
新华百货(600785)	600785	新华百货
东方锅炉(600786)	600786	东方锅炉
中储股份(600787)	600787	中储股份
*ST达曼(600788)	600788	*ST达曼
鲁抗医药(600789)	600789	鲁抗医药
轻纺城(600790)	600790	轻纺城
京能置业(600791)	600791	京能置业
云煤能源(600792)	600792	云煤能源
ST宜纸(600793)	600793	ST宜纸
保税科技(600794)	600794	保税科技
国电电力(600795)	600795	国电电力
钱江生化(600796)	600796	钱江生化
浙大网新(600797)	600797	浙大网新
宁波海运(600798)	600798	宁波海运
*ST龙科(600799)	600799	*ST龙科
天津磁卡(600800)	600800	天津磁卡
华新水泥(600801)	600801	华新水泥
福建水泥(600802)	600802	福建水泥
新奥股份(600803)	600803	新奥股份
鹏博士(600804)	600804	鹏博士
悦达投资(600805)	600805	悦达投资
昆明机床(600806)	600806	昆明机床
